Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
5 BEDROOM DUPLEX FOR RENT,"


 Ogudu Gra Ojota Ketu Lagos ","  5,000,000 ",Added 20 Aug 2017,556
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Surulere Surulere Lagos ","  900,000 ",Added 19 Aug 2017,22
4 BEDROOM DUPLEX FOR RENT,"


 Okupe Estate Maryland Ikeja Lagos ","  4,000,000 ",Added 19 Aug 2017,44
4 BEDROOM DUPLEX FOR RENT,"


 Anthony Anthony Ikorodu Road Lagos ","  2,500,000 ",Added 19 Aug 2017,445
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Banana Island Road Banana Island Ikoyi Lagos ","  13,000,000 ",Added 18 Aug 2017,445
SHOP FOR RENT,"


 Off Tejuosho Road Yaba Yaba Lagos ","  13,000,000 ",Added 18 Aug 2017,
4 BEDROOM DUPLEX FOR RENT,"


 Off African Lane Lekki Phase 1 Lekki Lagos ","  7,000,000 ",Added 18 Aug 2017,445
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  2,500,000 ",Added 18 Aug 2017,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Palace Road Oniru Victoria Island Lagos ","  5,000,000 ",Added 18 Aug 2017,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Palace Road Oniru Victoria Island Lagos ","  2,000,000 ",Added 18 Aug 2017,112
4 BEDROOM TERRACE FOR RENT,"


 Off White Sand School Road Lekki Phase 1 Lekki Lagos ","  5,500,000 ",Added 18 Aug 2017,445
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Admiralty Way Lekki Phase 1 Lekki Lagos ","  3,000,000 ",Added 18 Aug 2017,223
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Foreshore Agungi Lekki Lagos ","  4,000,000 ",Added 18 Aug 2017,42
ROOM OR BOYS QUARTER FOR RENT,"


 Ojulari Street Ikate Elegushi Lekki Lagos ","  550,000 ",Added 18 Aug 2017,
5 BEDROOM DUPLEX FOR RENT,"


 Off Babatunde Anjouse Street Lekki Phase 1 Lekki Lagos ","  15,000,000 ",Added 18 Aug 2017,556
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Second Avenue Banana Island Ikoyi Lagos ","  15,000,000 ",Added 18 Aug 2017,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Chief Collins Lekki Phase 1 Lekki Lagos ","  3,000,000 ",Added 18 Aug 2017,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Admiralty Way Lekki Phase 1 Lekki Lagos ","  4,000,000 ",Added 18 Aug 2017,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Palace Road Oniru Victoria Island Lagos ","  4,000,000 ",Added 18 Aug 2017,334
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Palace Road Oniru Victoria Island Lagos ","  3,000,000 ",Added 18 Aug 2017,223
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Adeyemo Alakija Victoria Island Victoria Island Lagos ","  6,000,000 ",Added 18 Aug 2017,223
