Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
3 BEDROOM HOUSE FOR RENT,"


 Ajao Street Off Ogunlana Drive Surulere Lagos ","  1,800,000/year ",Added 14 Nov 2022,333
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Off Admiralty Way Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  5,000,000 ",Added 14 Nov 2022,344
3 BEDROOM OFFICE FOR RENT,"


 Ikeja Ikeja Gra Ikeja Lagos ","  5,000,000 ",Added 14 Nov 2022,344
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Chisco Ikate Elegushi Lekki Lagos ","  3,500,000 ",Added 14 Nov 2022,233
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Idado Estate Idado Lekki Lagos ","  3,000,000 ",Added 14 Nov 2022,344
1 BEDROOM MINI FLAT FOR RENT,"


 Magodo Shangisha Ketu Lagos ","  1,800,000/year ",Added 14 Nov 2022,122
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Sangotedo Sangotedo Ajah Lagos ","  800,000 ",Added 14 Nov 2022,112
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Addo Addo Ajah Lagos ","  1,200,000/year ",Added 14 Nov 2022,223
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  3,500,000/year ",Added 14 Nov 2022,334
5 BEDROOM HOUSE FOR RENT,"


 Thomas Estate Thomas Estate Ajah Lagos ","  4,000,000/year ",Added 14 Nov 2022,556
2 BEDROOM MINI FLAT FOR RENT,"


 Alhaji Gbigin Ninuola Idowu Street Magodo Shangisha Ketu Lagos ","  3,500,000/year ",Added 14 Nov 2022,223
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Mko Garden Alausa Ikeja Lagos ","  5,000,000 ",Added 14 Nov 2022,445
5 BEDROOM HOUSE FOR RENT,"


 Mko Garden Alausa Ikeja Lagos ","  5,000,000 ",Added 14 Nov 2022,556
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  10,000,000 ",Added 14 Nov 2022,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Providence Street Lekki Phase 1 Lekki Lagos ","  3,000,000 ",Added 14 Nov 2022,112
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oregun Oregun Ikeja Lagos ","  2,000,000 ",Added 14 Nov 2022,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Magodo Shangisha Magodo Shangisha Ketu Lagos ","  3,000,000/year ",Added 14 Nov 2022,334
6 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  35,000,000/year ",Added 14 Nov 2022,667
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Badore Badore Ajah Lagos ","  1,300,000/year ",Added 14 Nov 2022,223
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Lekki Phase 1 Lekki Lagos ","  2,500,000 ",Added 14 Nov 2022,102
5 BEDROOM HOUSE FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  25,000,000 ",Added 14 Nov 2022,556
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Chevron Drive Chevron Drive Lekki Lagos ","  3,600,000 ",Added 14 Nov 2022,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  1,500,000 ",Added 14 Nov 2022,112
4 BEDROOM HOUSE FOR RENT,"


 Lekki County Estate Ikota Lekki Lagos ","  95,000,000 ",Added 14 Nov 2022,445
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Thomas Estate Thomas Estate Ajah Lagos ","  1,000,000 ",Added 14 Nov 2022,112
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Akins Ajah Ajah Lagos ","  1,500,000 ",Added 14 Nov 2022,223
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Unity Homes Thomas Estate Ajah Lagos ","  1,500,000 ",Added 14 Nov 2022,223
1 BEDROOM MINI FLAT FOR RENT,"


 Pupusola Axis, New Oko Oba, Abule Egba Agege Lagos ","  350,000/year ",Added 13 Nov 2022,112
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Aboru, Iyana Ipaja Ipaja Agege Lagos ","  500,000/year ",Added 13 Nov 2022,223
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Joke Ayo Rd, Alagbado Abeokuta Express Lagos ","  400,000/year ",Added 13 Nov 2022,222
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Magodo Isheri Ikeja Lagos ","  800,000/year ",Added 13 Nov 2022,223
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Gbaga, Off Ijede Road, Ikorodu Ikorodu Road Lagos ","  600,000/year ",Added 13 Nov 2022,223
1 BEDROOM MINI FLAT FOR RENT,"


 Gbaga, Off Ijede Road, Ikorodu Ikorodu Road Lagos ","  150,000/year ",Added 13 Nov 2022,111
2 BEDROOM HOUSE FOR RENT,"


 Kusenla Rd, Ikate Elegushi Lekki Lagos ","  3,000,000/year ",Added 13 Nov 2022,223
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Adepitan Street Haruna Ogba Ogba Ikeja Lagos ","  900,000/year ",Added 13 Nov 2022,233
1 BEDROOM MINI FLAT FOR RENT,"


 Adepiyan Street Haruna Ogba Ogba Ikeja Lagos ","  650,000/year ",Added 13 Nov 2022,112
4 BEDROOM HOUSE FOR RENT,"


 Ikota Lekki Lagos ","  4,500,000 ","Updated 13 Nov 2022, Added 27 Oct 2022",4
5 BEDROOM DUPLEX FOR RENT,"


 Lekki County Chevron Drive Lekki Lagos ","  5,500,000/year ","Updated 13 Nov 2022, Added 03 Nov 2022",556
4 BEDROOM DUPLEX FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  45,000,000/year ","Updated 13 Nov 2022, Added 11 Nov 2022",444
4 BEDROOM HOUSE FOR RENT,"


 Ikota Villa Gra Lekki Lagos Ikota Lekki Lagos ","  4,500,000/year ","Updated 13 Nov 2022, Added 13 Aug 2022",455
4 BEDROOM DUPLEX FOR RENT,"


 Lekki Osapa Lekki Lagos ","  5,000,000/year ","Updated 13 Nov 2022, Added 02 Aug 2022",455
4 BEDROOM DUPLEX FOR RENT,"


 Victoria Garden City Lekki Lagos ","  3,500,000 ","Updated 13 Nov 2022, Added 21 Jul 2022",445
SHOP FOR RENT,"


 Victoria Island Victoria Island Lagos ","  1,200,000/year ","Updated 13 Nov 2022, Added 17 Aug 2022",1
OFFICE FOR RENT,"


 Off Adeola Hopewell, Victoria Island Victoria Island Lagos ","  3,150,000 ","Updated 13 Nov 2022, Added 02 Dec 2021",
SHOP FOR RENT,"


 Off Road 14 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  3,000,000 ","Updated 13 Nov 2022, Added 23 Sep 2021",
OFFICE FOR RENT,"


 Fola Osibo Lekki Phase 1 Lekki Lagos ","  2,500,000 ","Updated 13 Nov 2022, Added 17 Sep 2021",
1 BEDROOM MINI FLAT FOR RENT,"


 Seaside Estate Badore Road Ajah Ajah Ajah Lagos ","  1,000,000/year ","Updated 13 Nov 2022, Added 29 Jul 2022",122
COMMERCIAL PROPERTY FOR RENT,"


 Agege Lagos ","  800,000 ","Updated 13 Nov 2022, Added 15 Jul 2022",
4 BEDROOM HOUSE FOR RENT,"


 Ikoyi Lagos ","  16,000,000 ","Updated 13 Nov 2022, Added 18 Jul 2022",4
FLAT & APARTMENT FOR RENT,"


 Banana Island Ikoyi Lagos Banana Island Ikoyi Lagos ","  12,000,000/year ","Updated 13 Nov 2022, Added 08 Jul 2022",23
5 BEDROOM DUPLEX FOR RENT,"


 Magodo Isheri Ikeja Lagos ","  7,500,000 ","Updated 13 Nov 2022, Added 03 Aug 2022",556
SHOP FOR RENT,"


 Tejuosho Market Yaba Yaba Lagos ","  4,000,000 ","Updated 13 Nov 2022, Added 23 Sep 2021",
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikoyi Lagos Nigeria Ikoyi Ikoyi Lagos ","  12,000,000/year ","Updated 13 Nov 2022, Added 12 Aug 2022",344
SHOP FOR RENT,"


 Victoria Island Lagos Victoria Island Victoria Island Lagos ","  3,000,000/year ","Updated 13 Nov 2022, Added 18 Aug 2022",1
4 BEDROOM DUPLEX FOR RENT,"


 Oral Estate Lekki Lagos Lekki Phase 2 Lekki Lagos ","  6,000,000/year ","Updated 13 Nov 2022, Added 11 Aug 2022",455
3 BEDROOM TERRACE FOR RENT,"


 Osapa London Lekki Osapa Lekki Lagos ","  4,000,000 ","Updated 13 Nov 2022, Added 11 Aug 2022",344
5 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  7,000,000 ","Updated 13 Nov 2022, Added 03 Aug 2022",556
4 BEDROOM DUPLEX FOR RENT,"


 Orchid Lekki Lekki Expressway Lekki Lagos ","  5,500,000 ","Updated 13 Nov 2022, Added 03 Jul 2022",445
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  7,500,000/year ","Updated 13 Nov 2022, Added 08 Jul 2022",344
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Victoria Island Victoria Island Lagos ","  16,000,000 ","Updated 13 Nov 2022, Added 07 Jul 2022",3
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikoyi Banana Island Ikoyi Lagos ","  12,000,000/year ","Updated 13 Nov 2022, Added 31 Jul 2022",344
4 BEDROOM HOUSE FOR RENT,"


 Lekki Lagos ","  11,000,000 ","Updated 13 Nov 2022, Added 13 Jul 2022",4
3 BEDROOM TERRACE FOR RENT,"


 Ogudu Gra Ketu Lagos ","  4,500,000 ","Updated 13 Nov 2022, Added 07 Jul 2022",3
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  3,500,000/year ","Updated 13 Nov 2022, Added 11 Nov 2022",111
FLAT & APARTMENT FOR RENT,"


 Chevron Drive Lekki Lagos ","  4,000,000 ","Updated 13 Nov 2022, Added 18 Aug 2022",
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  5,500,000 ","Updated 13 Nov 2022, Added 16 Aug 2022",445
3 BEDROOM HOUSE FOR RENT,"


 Parkview Estate Ikoyi Lagos ","  6,000,000 ","Updated 13 Nov 2022, Added 19 Jul 2022",3
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Lekki Lagos Ikate Elegushi Lekki Lagos ","  5,500,000 ","Updated 13 Nov 2022, Added 22 Aug 2022",233
5 BEDROOM DUPLEX FOR RENT,"


 Ajah Ajah Lagos ","  4,000,000 ","Updated 13 Nov 2022, Added 24 Aug 2022",556
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikoyi Lagos Ikoyi Ikoyi Lagos ","  15,000,000/year ","Updated 13 Nov 2022, Added 16 Sep 2022",344
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  4,000,000 ","Updated 13 Nov 2022, Added 12 Aug 2022",445
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Alagomeji Alagomeji Yaba Lagos ","  2,700,000/year ","Updated 13 Nov 2022, Added 14 Aug 2022",233
OFFICE FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  1,800,000 ","Updated 13 Nov 2022, Added 23 Sep 2021",
4 BEDROOM HOUSE FOR RENT,"


 Ajao Estate Lagos Ajao Estate Oshodi Lagos ","  6,000,000/year ","Updated 13 Nov 2022, Added 09 Aug 2022",455
5 BEDROOM DUPLEX FOR RENT,"


 Lekki County Chevron Drive Lekki Lagos ","  5,500,000/year ","Updated 13 Nov 2022, Added 03 Nov 2022",566
FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  12,000,000 ","Updated 13 Nov 2022, Added 25 Jul 2022",
4 BEDROOM DUPLEX FOR RENT,"


 Victoria Nest 2 Chevron Drive Lekki Lagos ","  6,500,000 ","Updated 13 Nov 2022, Added 20 Jul 2022",455
FLAT & APARTMENT FOR RENT,"


 Ikoyi Lagos ","  7,000,000 ","Updated 13 Nov 2022, Added 18 Jul 2022",
5 BEDROOM DUPLEX FOR RENT,"


 Ikota Villa Ikota Lekki Lagos ","  6,500,000 ","Updated 13 Nov 2022, Added 29 Jun 2022",555
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikoyi Lagos Nigeria Ikoyi Ikoyi Lagos ","  12,000,000/year ","Updated 13 Nov 2022, Added 08 Jul 2022",344
FLAT & APARTMENT FOR RENT,"


 Allen Avenue Ikeja Lagos ","  6,000,000 ","Updated 13 Nov 2022, Added 27 Jul 2022",
10 BEDROOM DUPLEX FOR RENT,"


 Adeniyi Jones Ikeja Lagos Nigeria Ikeja Ikeja Lagos ","  12,000,000/year ","Updated 13 Nov 2022, Added 07 Aug 2022",101010
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  5,000,000 ","Updated 13 Nov 2022, Added 03 Aug 2022",445
5 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  4,500,000 ","Updated 13 Nov 2022, Added 12 Aug 2022",556
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Chevron Drive Lekki Lagos ","  2,500,000/year ","Updated 13 Nov 2022, Added 16 Aug 2022",222
3 BEDROOM TERRACE FOR RENT,"


 Addo Addo Ajah Lagos ","  3,500,000/year ","Updated 13 Nov 2022, Added 19 Sep 2022",344
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  90,000,000 ","Updated 13 Nov 2022, Added 29 Aug 2022",445
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  10,000,000 ","Updated 13 Nov 2022, Added 22 Jul 2022",445
FLAT & APARTMENT FOR RENT,"


 Victoria Island Lagos ","  3,000,000/year ","Updated 13 Nov 2022, Added 26 Jul 2022",
FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  4,000,000 ","Updated 13 Nov 2022, Added 19 Jul 2022",
