Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
4 BEDROOM HOUSE FOR RENT,"


 Lekki Lagos ","  6,000,000 ",Added 13 Jan 2023,445
3 BEDROOM HOUSE FOR RENT,"


 Vgc Extension Lekki Lagos ","  3,500,000/year ",Added 13 Jan 2023,333
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Wagbare, Pineapple Estate Lekki Lagos ","  300,000 ",Added 13 Jan 2023,122
4 BEDROOM HOUSE FOR RENT,"


 Begona Avenue Ikota Lekki Lagos ","  3,500,000 ",Added 13 Jan 2023,455
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ipaja Agege Lagos ","  250,000/year ",Added 13 Jan 2023,100
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ogidan Ajah Lagos ","  1,700,000 ",Added 13 Jan 2023,223
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Agungi Lekki Lagos ","  1,600,000 ",Added 13 Jan 2023,111
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Surulere Lagos ","  1,800,000/year ",Added 13 Jan 2023,200
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Phase 1 Omole Ikeja Lagos ","  1,300,000/year ",Added 13 Jan 2023,112
4 BEDROOM HOUSE FOR RENT,"


 Thomas Estate Ajah Lagos ","  3,800,000 ",Added 13 Jan 2023,455
3 BEDROOM SELF CONTAIN FOR RENT,"


 Idado Lekki Lagos ","  3,000,000 ",Added 13 Jan 2023,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  1,800,000 ",Added 13 Jan 2023,111
3 BEDROOM HOUSE FOR RENT,"


 Villa Gra Ikota Lekki Lagos ","  2,500,000 ",Added 13 Jan 2023,344
5 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Awolowo Road Ikoyi Lagos ","  25,000,000 ",Added 13 Jan 2023,556
4 BEDROOM HOUSE FOR RENT,"


 Victoria Crest 3, Orchid Lekki Lagos ","  4,000,000 ",Added 13 Jan 2023,455
2 BEDROOM HOUSE FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  2,500,000 ",Added 13 Jan 2023,233
1 BEDROOM SELF CONTAIN FOR RENT,"


 Parkview Estate Ikoyi Lagos ","  2,600,000 ",Added 13 Jan 2023,111
SELF CONTAIN FOR RENT,"


 Chevron Alternative Lekki Lagos ","  1,400,000 ",Added 13 Jan 2023,000
7 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  10,000,000 ",Added 13 Jan 2023,788
2 BEDROOM HOUSE FOR RENT,"


 Urban Prime Estate Ajah Lagos ","  3,000,000 ",Added 13 Jan 2023,233
1 BEDROOM SELF CONTAIN FOR RENT,"


 Osapa London Estate Lekki Lagos ","  1,200,000/year ",Added 13 Jan 2023,101
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Sangotedo Ajah Lagos ","  600,000/year ",Added 13 Jan 2023,122
3 BEDROOM HOUSE FOR RENT,"


 Lekki Palm City Estate Ajah Lagos ","  3,500,000 ",Added 13 Jan 2023,344
3 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  5,500,000 ",Added 13 Jan 2023,344
3 BEDROOM HOUSE FOR RENT,"


 Orchid Lekki Lagos ","  3,500,000 ",Added 13 Jan 2023,344
4 BEDROOM HOUSE FOR RENT,"


 Ikosi Ketu Lagos ","  6,000,000/year ",Added 13 Jan 2023,445
10 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  13,000,000 ",Added 13 Jan 2023,1000
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Canal Estate Okota Isolo Lagos ","  900,000/year ",Added 13 Jan 2023,223
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikota Lekki Lagos ","  1,500,000 ",Added 13 Jan 2023,111
3 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Good Home Estate Ajah Lagos ","  6,000,000 ",Added 13 Jan 2023,344
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Sangotedo Ajah Lagos ","  1,100,000 ",Added 13 Jan 2023,233
SHOP FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  1,200,000 ",Added 13 Jan 2023,000
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Langbasa Ajah Lagos ","  700,000/year ",Added 13 Jan 2023,222
4 BEDROOM HOUSE FOR RENT,"


 Chevron Lekki Lagos ","  4,500,000/year ",Added 13 Jan 2023,445
4 BEDROOM HOUSE FOR RENT,"


 Tulip Heaven Estate Lekki Lagos ","  5,500,000 ",Added 13 Jan 2023,455
4 BEDROOM HOUSE FOR RENT,"


 Chevron Alternative Route Lekki Lagos ","  4,500,000 ",Added 13 Jan 2023,455
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ondo Street, By Bola Str. Ebute Meta East Yaba Lagos ","  850,000/year ",Added 13 Jan 2023,112
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Gbagada Lagos ","  3,000,000 ",Added 13 Jan 2023,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 By Chisco Bustop Lekki Lagos ","  1,500,000 ",Added 13 Jan 2023,111
2 BEDROOM HOUSE FOR RENT,"


 Shangisha Ketu Lagos ","  1,500,000/year ",Added 13 Jan 2023,223
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Estate, Ikoyi, Lagos, Nigeria. Banana Island Ikoyi Lagos ","  15,000,000/year ",Added 13 Jan 2023,223
8 BEDROOM HOUSE FOR RENT,"


 Banana Island Ikoyi Lagos ","  90,000,000/year ",Added 13 Jan 2023,889
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Canal Estate Ago Palace Isolo Lagos ","  1,700,000/year ",Added 13 Jan 2023,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Olowoira Berger Ikeja Lagos ","  1,000,000/year ",Added 13 Jan 2023,122
SELF CONTAIN FOR RENT,"


 Villa Estate Ikota Lekki Lagos ","  1,500,000 ",Added 13 Jan 2023,011
3 BEDROOM HOUSE FOR RENT,"


 Lekki Lagos ","  3,500,000 ",Added 13 Jan 2023,344
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Abijo Ajah Lagos ","  800,000 ",Added 13 Jan 2023,233
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  1,400,000/year ",Added 13 Jan 2023,111
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 General Paint Ajah Lagos ","  2,200,000 ",Added 13 Jan 2023,223
6 BEDROOM COMMERCIAL PROPERTY FOR RENT,"


 Victoria Island Lagos ","  40,000,000 ",Added 13 Jan 2023,677
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Shangisha Ketu Lagos ","  800,000/year ",Added 13 Jan 2023,122
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Sangotedo Ajah Lagos ","  1,300,000 ",Added 13 Jan 2023,344
4 BEDROOM HOUSE FOR RENT,"


 Van Daniel Orchid* Lekki Lagos ","  3,500,000 ",Added 13 Jan 2023,455
4 BEDROOM HOUSE FOR RENT,"


 Orchid Before Mega Lekki Lagos ","  4,000,000 ",Added 13 Jan 2023,455
4 BEDROOM HOUSE FOR RENT,"


 Green View Estate Ajah Lekki Lagos Badore Ajah Lagos ","  1,700,000 ",Added 13 Jan 2023,445
4 BEDROOM HOUSE FOR RENT,"


 Empire Homes Lekki Lagos ","  7,500,000/year ",Added 13 Jan 2023,400
COMMERCIAL PROPERTY FOR RENT,"


 Off Ojuelegba Road Surulere Lagos Ojuelegba Surulere Lagos ","  1,300,000/year ",Added 13 Jan 2023,022
3 BEDROOM HOUSE FOR RENT,"


 Banana Island Estate, Ikoyi, Lagos, Nigeria. Banana Island Ikoyi Lagos ","  12,000,000/year ",Added 13 Jan 2023,334
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Parkview Estate Okota Isolo Lagos ","  850,000/year ",Added 13 Jan 2023,211
2 BEDROOM HOUSE FOR RENT,"


 Opposite Shoprite Sangotedo Ajah Lagos ","  850,000 ",Added 13 Jan 2023,233
5 BEDROOM HOUSE FOR RENT,"


 Lekki Lagos ","  8,000,000 ",Added 13 Jan 2023,566
SHOP FOR RENT,"


 Ikeja Lagos ","  50,000/sqm ",Added 13 Jan 2023,000
3 BEDROOM HOUSE FOR RENT,"


 Ajah Lagos ","  1,200,000 ",Added 13 Jan 2023,344
5 BEDROOM DUPLEX FOR RENT,"


 Emeke Ochonogor Street Off Spg Road Igbo Efon Lekki Lagos ","  4,500,000/year ",Added 13 Jan 2023,556
4 BEDROOM DUPLEX FOR RENT,"


 Off Spg Road Igbo Efon Lekki Lagos ","  3,500,000/year ",Added 13 Jan 2023,445
COMMERCIAL PROPERTY FOR RENT,"


 Ikeja Lagos ","  22,000,000 ","Updated 13 Jan 2023, Added 25 Jul 2022",
5 BEDROOM BUNGALOW FOR RENT,"


 Eleko Junction Ibeju Lekki Ajah Lagos ","  120,000,000 ","Updated 13 Jan 2023, Added 17 May 2022",56
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Gra Ikeja Lagos ","  12,000,000 ","Updated 13 Jan 2023, Added 15 Aug 2022",3
FLAT & APARTMENT FOR RENT,"


 Opebi Ikeja Lagos ","  2,000,000 ","Updated 13 Jan 2023, Added 26 Oct 2022",
2 BEDROOM HOUSE FOR RENT,"


 Olowora, Omole Phase2 Extension, Ikeja Lagos ","  1,500,000 ","Updated 13 Jan 2023, Added 18 Aug 2022",2
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Idado Lekki Lagos ","  2,200,000/year ",Added 12 Jan 2023,223
1 BEDROOM SHARED APARTMENT FOR RENT,"


 Chevy View Estate Chevron Drive Lekki Lagos ","  1,100,000/year ",Added 12 Jan 2023,111
SHOP FOR RENT,"


 Thomas Estate Ajah Lagos ","  1,500,000/year ",Added 12 Jan 2023,
4 BEDROOM TERRACE FOR RENT,"


 Victoria Crest 2 Orchid Lafiaji Lekki Lagos ","  4,000,000/year ",Added 11 Jan 2023,445
OFFICE FOR RENT,"


 Saka Tinubu Victoria Island Victoria Island Lagos ","  800,000/month ",Added 11 Jan 2023,
2 BEDROOM SHARED APARTMENT FOR RENT,"


 Mobil Estate Road, Ajah Ajah Lagos ","  400,000/year ",Added 11 Jan 2023,223
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Obafemi Awolowo Way Ikeja Lagos ","  600,000 ",Added 10 Jan 2023,111
5 BEDROOM DUPLEX FOR RENT,"


 Megamound Estate Ikota Lekki Lagos ","  6,000,000/year ",Added 10 Jan 2023,566
5 BEDROOM DUPLEX FOR RENT,"


 Megamound Estate Ikota Lekki Lagos ","  9,500,000/year ",Added 10 Jan 2023,566
5 BEDROOM DUPLEX FOR RENT,"


 Agungi Agungi Lekki Lagos ","  6,000,000/year ",Added 10 Jan 2023,566
5 BEDROOM DUPLEX FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  8,000,000/year ",Added 10 Jan 2023,566
3 BEDROOM DUPLEX FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  15,000,000 ",Added 09 Jan 2023,334
