Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
2 BEDROOM BLOCK OF FLATS For Rent,"


 Ikate Elegushi Lekki Lagos ","  5,500,000/year ","Updated 20 Feb 2023, Added 30 Jan 2023",223
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Elegushi Lekki Lagos ","  3,500,000/month ","Updated 18 Feb 2023, Added 06 Sep 2022",344
3 BEDROOM TERRACE FOR RENT,"


 Lekki Conservation Lekki Expressway Lekki Lagos ","  4,000,000/year ","Updated 18 Feb 2023, Added 13 Oct 2022",344
3 BEDROOM TERRACE FOR RENT,"


 Lekki Right Lekki Expressway Lekki Lagos ","  8,000,000 ","Updated 18 Feb 2023, Added 09 May 2022",34
4 BEDROOM TERRACE FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  9,000,000 ","Updated 18 Feb 2023, Added 11 May 2022",455
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  7,000,000/year ","Updated 18 Feb 2023, Added 19 Oct 2022",344
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  4,500,000/year ","Updated 18 Feb 2023, Added 13 Oct 2022",344
3 BEDROOM TERRACE FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  15,000,000/year ","Updated 18 Feb 2023, Added 13 Jan 2023",344
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Expressway Lekki Lagos ","  2,200,000 ","Updated 18 Feb 2023, Added 06 May 2022",23
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  4,000,000/year ","Updated 18 Feb 2023, Added 06 Feb 2023",233
4 BEDROOM TERRACE For Sale,"


 Ikate Elegushi Lekki Lagos ","  140,000,000 ","Updated 20 Feb 2023, Added 30 Jan 2023",445
4 BEDROOM DUPLEX FOR RENT,"


 Oral Estate Lekki Expressway Lekki Lagos ","  5,500,000/year ","Updated 18 Feb 2023, Added 13 Oct 2022",455
4 BEDROOM TERRACE FOR RENT,"


 2nd Tollgate Lekki Lekki Expressway Lekki Lagos ","  4,000,000 ","Updated 18 Feb 2023, Added 15 Feb 2023",445
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Marwa Lekki Phase 1 Lekki Lagos ","  3,500,000/year ","Updated 18 Feb 2023, Added 19 Sep 2022",233
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  3,500,000/year ","Updated 18 Feb 2023, Added 13 Oct 2022",344
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  3,500,000/month ","Updated 18 Feb 2023, Added 20 Jan 2023",233
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  4,500,000/year ","Updated 18 Feb 2023, Added 26 Sep 2022",233
2 BEDROOM DUPLEX FOR RENT,"


 Ikota G.r.a Lekki Expressway Lekki Lagos ","  2,500,000 ","Updated 18 Feb 2023, Added 18 May 2022",23
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Chevron Chevron Drive Lekki Lagos ","  3,500,000/year ","Updated 18 Feb 2023, Added 13 Jan 2023",233
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Chevron Chevron Drive Lekki Lagos ","  3,800,000/year ","Updated 18 Feb 2023, Added 19 Sep 2022",344
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikoyi Ikoyi Lagos ","  30,000,000 ","Updated 18 Feb 2023, Added 16 Feb 2023",445
