Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Right Lekki Phase 1 Lekki Lagos ","  3,000,000 ",Added 15 Feb 2021,223
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Agungi Lekki Lagos ","  2,800,000 ",Added 12 Feb 2021,22
9 BEDROOM TERRACE FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  15,000,000 ",Added 10 Feb 2021,9912
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  4,700,000 ",Added 10 Feb 2021,334
4 BEDROOM DUPLEX FOR RENT,"


 Oniru Estate Oniru Victoria Island Lagos ","  4,800,000 ",Added 10 Feb 2021,445
4 BEDROOM TERRACE FOR RENT,"


 Elegushi Street Ikate Elegushi Lekki Lagos ","  37,000,000 ",Added 10 Feb 2021,40
5 BEDROOM DUPLEX FOR RENT,"


 Lekki Lekki Phase 1 Lekki Lagos ","  8,000,000 ",Added 09 Feb 2021,56
4 BEDROOM TERRACE FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  4,300,000 ",Added 09 Feb 2021,44
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Marwa Lekki Phase 1 Lekki Lagos ","  2,500,000 ",Added 09 Feb 2021,222
4 BEDROOM TERRACE FOR RENT,"


 Marwa Lekki Phase 2 Lekki Lagos ","  4,500,000 ",Added 09 Feb 2021,455
4 BEDROOM TERRACE FOR RENT,"


 Marwa Lekki Phase 1 Lekki Lagos ","  4,000,000 ",Added 09 Feb 2021,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  4,500,000 ",Added 09 Feb 2021,33
5 BEDROOM DUPLEX FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  20,000,000 ",Added 08 Feb 2021,56
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  3,500,000 ",Added 08 Feb 2021,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Road, Ikoyi Banana Island Ikoyi Lagos ","  15,000,000 ",Added 08 Feb 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Orchid Road, Lekki Conservative Ikota Lekki Lagos ","  3,500,000 ",Added 08 Feb 2021,334
4 BEDROOM DUPLEX FOR RENT,"


 Orchid Road, Lekki Conservative Ikota Lekki Lagos ","  4,000,000 ",Added 08 Feb 2021,445
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  5,500,000 ",Added 08 Feb 2021,334
5 BEDROOM TOWNHOUSE FOR RENT,"


 Road 06 Pinnock Road Jakande Lekki Lagos ","  5,000,000 ",Added 08 Feb 2021,54
5 BEDROOM DUPLEX FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  30,000,000 ",Added 05 Feb 2021,556
5 BEDROOM DUPLEX FOR RENT,"


 Chevron Estate Chevron Drive Lekki Lagos ","  6,500,000 ",Added 05 Feb 2021,556
3 BEDROOM DUPLEX FOR RENT,"


 Off College Road Ikeja Ikeja Lagos ","  1,500,000 ",Added 05 Feb 2021,33
WAREHOUSE FOR RENT,"


 Alausa Alausa Ikeja Lagos ","  12,000,000 ",Added 05 Feb 2021,
5 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  8,500,000 ",Added 05 Feb 2021,556
5 BEDROOM DUPLEX FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  4,500,000 ",Added 05 Feb 2021,556
5 BEDROOM DUPLEX FOR RENT,"


 Magodo Gra Magodo Isheri Ikeja Lagos ","  5,000,000 ",Added 05 Feb 2021,556
5 BEDROOM DUPLEX FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  5,000,000 ",Added 05 Feb 2021,555
OFFICE FOR RENT,"


 336 Old Ojo Road Satelite Town Festac Lagos ","  5,100,000 ",Added 05 Feb 2021,
5 BEDROOM DUPLEX FOR RENT,"


 Oniru Estate Oniru Victoria Island Lagos ","  6,000,000 ",Added 05 Feb 2021,557
5 BEDROOM DUPLEX FOR RENT,"


 Park View Parkview Estate Ikoyi Lagos ","  13,000,000 ",Added 05 Feb 2021,557
5 BEDROOM DUPLEX FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  4,000,000 ",Added 05 Feb 2021,556
6 BEDROOM DUPLEX FOR RENT,"


 V.i Victoria Island Victoria Island Lagos ","  10,000,000 ",Added 05 Feb 2021,668
5 BEDROOM DUPLEX FOR RENT,"


 Onikoyi Estate Off Banana Island Ikoyi Ikoyi Lagos ","  7,200,000 ",Added 05 Feb 2021,556
4 BEDROOM DUPLEX FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  5,000,000 ",Added 05 Feb 2021,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Abibu Adetoro Street Victoria Island Victoria Island Lagos ","  8,000,000 ",Added 04 Feb 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  10,000,000 ",Added 04 Feb 2021,334
5 BEDROOM DUPLEX FOR RENT,"


 Agungi Estate Agungi Lekki Lagos ","  4,500,000 ",Added 04 Feb 2021,556
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  3,500,000 ",Added 03 Feb 2021,33
