Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
2 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  6,000,000 ",Added 21 Feb 2023,233
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Bourdilon Ikoyi Ikoyi Lagos "," $ 100,000/year ","Updated 21 Feb 2023, Added 06 Dec 2022",334
3 BEDROOM HOUSE FOR RENT,"


 Ikoyi Lagos ","  10,000,000/year ","Updated 21 Feb 2023, Added 08 Dec 2022",334
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Off Admiralty Lekki Phase 1 Lekki Lagos ","  5,500,000 ","Updated 21 Feb 2023, Added 05 Feb 2023",334
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  6,500,000/year ","Updated 21 Feb 2023, Added 05 Feb 2023",334
3 BEDROOM TERRACE FOR RENT,"


 Banana Island Ikoyi Lagos ","  16,000,000/year ","Updated 21 Feb 2023, Added 05 Jan 2023",334
4 BEDROOM TOWNHOUSE FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  9,000,000/year ",Added 20 Feb 2023,445
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Banana Island Ikoyi Lagos ","  9,000,000/year ","Updated 20 Feb 2023, Added 12 Jan 2023",334
4 BEDROOM DUPLEX FOR RENT,"


 Orchid Lekki Lagos ","  6,500,000/year ","Updated 20 Feb 2023, Added 09 Feb 2023",445
4 BEDROOM DUPLEX FOR RENT,"


 Victoria Island Lagos ","  20,000,000/year ","Updated 20 Feb 2023, Added 23 Jan 2023",445
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  4,500,000/year ","Updated 20 Feb 2023, Added 01 Feb 2023",445
4 BEDROOM TERRACE FOR RENT,"


 Osapa Lekki Lagos ","  7,500,000/year ","Updated 20 Feb 2023, Added 14 Dec 2022",445
3 BEDROOM DUPLEX FOR RENT,"


 Ikota Lekki Lagos ","  50,000,000 ","Updated 20 Feb 2023, Added 12 Dec 2022",334
5 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  15,000,000 ","Updated 20 Feb 2023, Added 17 Jan 2023",556
HOUSE FOR RENT,"


 Ikota Lekki Lagos ","  2,600,000 ","Updated 20 Feb 2023, Added 08 Nov 2022",
4 BEDROOM DUPLEX FOR RENT,"


 Ogombo Ajah Lagos ","  3,000,000 ","Updated 20 Feb 2023, Added 12 Dec 2022",4
COMMERCIAL PROPERTY FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  4,000,000 ","Updated 20 Feb 2023, Added 13 Jan 2023",
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikoyi Ikoyi Lagos ","  12,000,000/year ","Updated 20 Feb 2023, Added 13 Jan 2023",334
5 BEDROOM DUPLEX FOR RENT,"


 Ikoyi Ikoyi Lagos ","  25,000,000/year ","Updated 20 Feb 2023, Added 23 Jan 2023",556
5 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  30,000,000 ","Updated 20 Feb 2023, Added 17 Jan 2023",556
