Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
3 BEDROOM HOUSE FOR RENT,"


 Lekki Lagos ","  3,500,000 ",Added 09 Sep 2022,334
2 BEDROOM HOUSE FOR RENT,"


 Ikeja Lagos ","  1,500,000/year ",Added 09 Sep 2022,223
2 BEDROOM HOUSE FOR RENT,"


 Abiola Estate Phase1 Agege Lagos ","  650,000/year ",Added 09 Sep 2022,223
2 BEDROOM HOUSE FOR RENT,"


 8&9 Bus Stop Agege Lagos ","  500,000/year ",Added 09 Sep 2022,223
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Command, Ekoro Abule Egba Agege Lagos ","  300,000/year ",Added 09 Sep 2022,111
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Plot 22b Omorire Johnson Street Lekki Phase 1 Lekki Lagos ","  3,000,000/year ",Added 09 Sep 2022,334
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikeja Lagos ","  700,000/year ",Added 09 Sep 2022,111
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Sabo Berger Ikeja Lagos ","  500,000/year ",Added 09 Sep 2022,112
2 BEDROOM HOUSE FOR RENT,"


 Fagba Agege Lagos ","  500,000/year ",Added 09 Sep 2022,222
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Herbert Orji Avenue, Osapa London Lekki Lagos ","  2,700,000 ",Added 09 Sep 2022,223
4 BEDROOM TERRACE FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  5,500,000 ",Added 09 Sep 2022,444
4 BEDROOM HOUSE FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  10,000,000/year ",Added 09 Sep 2022,445
5 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  12,000,000 ",Added 09 Sep 2022,566
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki County Home's Ikota Lekki Lagos ","  3,500,000 ",Added 09 Sep 2022,344
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Festac Lagos ","  1,300,000/year ",Added 09 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Festac Lagos ","  1,200,000/year ",Added 09 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Festac Lagos ","  1,000,000/year ",Added 09 Sep 2022,233
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Festac Lagos ","  800,000/year ",Added 09 Sep 2022,333
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lagos Island Lagos ","  1,000,000/year ",Added 09 Sep 2022,233
SHOP FOR RENT,"


 Lagos Island Lagos ","  500,000/year ",Added 09 Sep 2022,000
SHOP FOR RENT,"


 Lagos Island Lagos ","  400,000/year ",Added 09 Sep 2022,000
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lagos Island Lagos ","  1,200,000/year ",Added 09 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lagos Island Lagos ","  900,000/year ",Added 09 Sep 2022,233
FLAT & APARTMENT FOR RENT,"


 Lagos Island Lagos ","  500,000/year ",Added 09 Sep 2022,000
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Alidada Agege Lagos ","  1,400,000 ",Added 09 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Alidada Agege Lagos ","  1,250,000 ",Added 09 Sep 2022,233
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Gloryland Estate Agege Lagos ","  800,000 ",Added 09 Sep 2022,122
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Trinity Estate, Century Lagos Island Lagos ","  1,200,000/year ",Added 09 Sep 2022,233
4 BEDROOM DUPLEX FOR RENT,"


 Off Container Road, Opposite Cosharis Motors. Awoyaya Awoyaya Ajah Lagos ","  2,500,000 ","Updated 09 Sep 2022, Added 16 May 2022",44
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Parkview Lekki Lekki Phase 1 Lekki Lagos ","  12,000,000/year ","Updated 09 Sep 2022, Added 19 Jun 2022",333
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikota Lekki Lagos ","  2,600,000/year ",Added 08 Sep 2022,333
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Orchid Road, Eleganza Bustop Lekki Lagos Lekki Phase 2 Lekki Lagos ","  2,500,000/year ",Added 08 Sep 2022,222
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oral Estate, Lekki Lagos Lekki Lagos ","  1,500,000/year ",Added 08 Sep 2022,111
FLAT & APARTMENT FOR RENT,"


 Magodo Isheri Ikeja Lagos ","  1,600,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ojodu Ikeja Lagos ","  1,000,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ifako Ijaiye Abeokuta Express Lagos ","  1,000,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Hillcrest Estate, Elliot Ishaga Iju Abeokuta Express Lagos ","  500,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ojodu Ikeja Lagos ","  600,000 ",Added 08 Sep 2022,000
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Agege Lagos ","  550,000/year ",Added 08 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Genesis Estate Agege Lagos ","  800,000 ",Added 08 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Valley View Estate Agege Lagos ","  900,000/year ",Added 08 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Liasu Road Ikotun Isolo Lagos ","  1,000,000/year ",Added 08 Sep 2022,233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikola, Command Agege Lagos ","  550,000/year ",Added 08 Sep 2022,233
4 BEDROOM HOUSE FOR RENT,"


 Ikota, Creek Avenue Court Phase 2 Lekki Lagos ","  3,300,000/year ",Added 08 Sep 2022,455
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ekoro Abule Egba Agege Lagos ","  430,000/year ",Added 08 Sep 2022,122
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Alapere Ketu Lagos ","  400,000 ",Added 08 Sep 2022,111
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Unique Estate Ipaja Agege Lagos ","  550,000/year ",Added 08 Sep 2022,233
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Morgan Estate Ojodu Ikeja Lagos ","  2,000,000/year ",Added 08 Sep 2022,334
HOUSE FOR RENT,"


 Estate Ologolo Lekki Lagos ","  4,000,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ogudu Ketu Lagos ","  700,000/year ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Alagomeji Yaba Lagos ","  800,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Bariga Gbagada Lagos ","  350,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Oregun Ikeja Lagos ","  1,800,000 ",Added 08 Sep 2022,000
WAREHOUSE FOR RENT,"


 Agege Lagos ","  2,500,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Surulere Lagos ","  1,600,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Abule Egba Agege Lagos ","  150,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Yaba Lagos ","  500,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Atunrase Estate. Gbagada Lagos ","  1,200,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  5,000,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  4,500,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  1,700,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Crown Estate Sangotedo Ajah Lagos ","  4,500,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ogudu Ketu Lagos ","  550,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ogudu Ketu Lagos ","  1,800,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Gbagada Lagos ","  900,000 ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Shomolu Yaba Lagos ","  700,000/year ",Added 08 Sep 2022,000
HOUSE FOR RENT,"


 Mushin Mushin Lagos ","  1,200,000/year ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ipaja Agege Lagos ","  600,000/year ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Surulere Lagos ","  2,300,000/year ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ojuelegba Surulere Lagos ","  900,000/year ",Added 08 Sep 2022,000
FLAT & APARTMENT FOR RENT,"


 Ogudu Ketu Lagos ","  700,000 ",Added 08 Sep 2022,000
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ajiran Ajah Lagos ","  1,800,000 ",Added 08 Sep 2022,334
3 BEDROOM HOUSE FOR RENT,"


 Clover Court Estate Lekki Lagos ","  3,000,000/year ",Added 08 Sep 2022,300
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 P&t Estate Ipaja Agege Lagos ","  600,000 ",Added 08 Sep 2022,122
