Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
OFFICE FOR RENT,"


 Ekololu, Surulere Surulere Surulere Lagos ","  850,000 ",Added 16 Nov 2015,
3 BEDROOM BUNGALOW FOR RENT,"


 Majek, Ajah Ajah Ajah Lagos ","  1,300,000 ",Added 16 Nov 2015,31
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Royal Palm Ville Estate, Badore Badore Ajah Lagos ","  400,000 ",Added 16 Nov 2015,11
2 BEDROOM HOUSE FOR RENT,"


 Heritage Garden, Ajah Ajah Ajah Lagos ","  650,000 ",Added 16 Nov 2015,21
3 BEDROOM TOWNHOUSE FOR RENT,"


 Pearl Nuga Estate, Ajah Ajah Ajah Lagos ","  1,200,000 ",Added 16 Nov 2015,33
4 BEDROOM HOUSE FOR RENT,"


 Pearl Nuga Estate, Ajah Ajah Ajah Lagos ","  1,400,000 ",Added 16 Nov 2015,44
2 BEDROOM HOUSE FOR RENT,"


 Off Mobil Road, Ajah Ajah Ajah Lagos ","  2,000,000 ",Added 16 Nov 2015,21
2 BEDROOM HOUSE FOR RENT,"


 University View Estate, Ajah Ajah Ajah Lagos ","  2,000,000 ",Added 16 Nov 2015,21
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Budo Estate, Ajah Ajah Ajah Lagos ","  800,000 ",Added 16 Nov 2015,21
OFFICE FOR RENT,"


 Allen Avenue, Ikeja Opebi Ikeja Lagos ","  2,528,000 ",Added 15 Nov 2015,
OFFICE FOR RENT,"


 Opebi – Mobolaji Bank Anthony Link Road, Ikeja Opebi Ikeja Lagos ","  4,200,000 ",Added 15 Nov 2015,
3 BEDROOM BUNGALOW FOR RENT,"


 Lateef Jakande Road, Agidingbi, Ikeja Ikeja Ikeja Lagos ","  3,500,000 ",Added 15 Nov 2015,33
6 BEDROOM BUNGALOW FOR RENT,"


 Oduduwa Crescent, Ikeja Gra Ikeja Ikeja Lagos ","  4,500,000 ",Added 15 Nov 2015,66
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ajao Road, Off Adeniyi Jones Avenue, Ikeja Ikeja Ikeja Lagos ","  1,500,000 ",Added 15 Nov 2015,22
4 BEDROOM BLOCK OF FLATS FOR RENT,"


 Oduduwa Crescent, Ikeja G.r.a Ikeja Ikeja Lagos ","  6,000,000 ",Added 15 Nov 2015,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikeja G.r.a Ikeja Ikeja Lagos ","  4,500,000 ",Added 15 Nov 2015,33
COMMERCIAL PROPERTY FOR RENT,"


 Sapara Street, Industrial Layout, Off Oba Akran Avenue Ikeja Ikeja Lagos ","  10,000,000 ",Added 15 Nov 2015,
6 BEDROOM DUPLEX FOR RENT,"


 Babatunde Ladega Street, Omole Phase 1 Ogba Ikeja Lagos ","  4,500,000 ",Added 15 Nov 2015,66
4 BEDROOM DUPLEX FOR RENT,"


 Local Airport Road, Ikeja Ikeja Ikeja Lagos ","  2,500,000 ",Added 15 Nov 2015,44
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Chevron Alternative Road Lekki Expressway Lekki Lagos ","  3,000,000 ",Added 15 Nov 2015,33
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Orji Street, Off First Gate, Ikorodu Mile 12 Ikorodu Road Lagos ","  400,000 ",Added 15 Nov 2015,33
4 BEDROOM DUPLEX FOR RENT,"


 Remi Fanikayode Street, Ikeja G.r.a Ikeja Ikeja Lagos ","  7,000,000 ",Added 15 Nov 2015,44
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Seriki Aro Street, Ikeja Ikeja Ikeja Lagos ","  700,000 ",Added 15 Nov 2015,33
4 BEDROOM TERRACE FOR RENT,"


 Old Secretariat Road, Ikeja G.r.a Ikeja Ikeja Lagos ","  3,000,000 ",Added 15 Nov 2015,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Bayode Oluwole Street, Honey’s Court, Off Allen Avenue Opebi Ikeja Lagos ","  1,300,000 ",Added 15 Nov 2015,33
OFFICE FOR RENT,"


 Allen Avenue Opebi Ikeja Lagos ","  3,200,000 ",Added 15 Nov 2015,
3 BEDROOM OFFICE FOR RENT,"


 Oduduwa Crescent, Ikeja Gra Ikeja Ikeja Lagos ","  3,500,000 ",Added 15 Nov 2015,33
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Good Homes Estate,oke Ira Nla Road Badore Ajah Lagos ","  600,000 ",Added 15 Nov 2015,22
5 BEDROOM HOUSE FOR RENT,"


 Lekki Garden Estate, Behind Lagos Business School Lekki Expressway Lekki Lagos ","  2,500,000 ",Added 15 Nov 2015,55
4 BEDROOM HOUSE FOR RENT,"


 Sangotedo Sangotedo Ajah Lagos ","  1,600,000 ",Added 15 Nov 2015,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Garden Phase 1 Road, Canan Land, Before Splash, Sangotedo Sangotedo Ajah Lagos ","  1,000,000 ",Added 15 Nov 2015,33
4 BEDROOM BUNGALOW FOR RENT,"


 Sunny Villa, Badore Badore Ajah Lagos ","  1,300,000 ",Added 15 Nov 2015,44
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ade Onitimirin Street, Off Natufe, Off Bode Thomas, Surulere Surulere Surulere Lagos ","  600,000 ",Added 15 Nov 2015,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  1,300,000 ",Added 13 Nov 2015,33
3 BEDROOM DUPLEX FOR RENT,"


 Bakare Street, Chevy View Estate, Chevron Drive, Lekki Lekki Expressway Lekki Lagos ","  2,000,000 ",Added 13 Nov 2015,33
3 BEDROOM HOUSE FOR RENT,"


 Lekki Gardens Chevron, Lekki Lekki Expressway Lekki Lagos ","  3,000,000 ",Added 13 Nov 2015,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Cromwell Court, Chevron, Lekki Lekki Expressway Lekki Lagos ","  2,500,000 ",Added 13 Nov 2015,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Jasmine Court, Chevron, Lekki Lekki Expressway Lekki Lagos ","  2,500,000 ",Added 13 Nov 2015,31
5 BEDROOM TOWNHOUSE FOR RENT,"


 Willowgreen Estate, Agungi Agungi Lekki Lagos ","  2,000,000 ",Added 13 Nov 2015,55
4 BEDROOM HOUSE FOR RENT,"


 Ibrahim Street, Agungi Agungi Lekki Lagos ","  2,250,000 ",Added 13 Nov 2015,44
4 BEDROOM HOUSE FOR RENT,"


 Acadia Mews Estate, Agungi, Lekki Lekki Expressway Lekki Lagos ","  3,000,000 ",Added 13 Nov 2015,44
4 BEDROOM TERRACE FOR RENT,"


 Osapa Osapa Lekki Lagos ","  3,000,000 ",Added 13 Nov 2015,42
4 BEDROOM TERRACE FOR RENT,"


 Ajiran Agungi, Lekki Lekki Expressway Lekki Lagos ","  3,000,000 ",Added 13 Nov 2015,44
