Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Victoria Island Victoria Island Lagos ","  6,000,000 ","Updated 18 Feb 2023, Added 17 May 2022",34
4 BEDROOM DUPLEX FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  7,500,000/year ","Updated 18 Feb 2023, Added 16 Jan 2023",455
4 BEDROOM DUPLEX FOR RENT,"


 Chevron Chevron Drive Lekki Lagos ","  5,000,000/year ","Updated 18 Feb 2023, Added 20 Jan 2023",455
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Agungi Agungi Lekki Lagos ","  3,200,000/year ","Updated 18 Feb 2023, Added 22 Nov 2022",233
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Parkview Estate Ikoyi Ikoyi Lagos ","  4,500,000 ","Updated 18 Feb 2023, Added 24 May 2022",223
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Kunsela Road Ikate Elegushi Lekki Lagos ","  5,000,000 ","Updated 18 Feb 2023, Added 27 Jul 2022",223
4 BEDROOM TERRACE FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  8,500,000/year ","Updated 18 Feb 2023, Added 30 Sep 2022",455
4 BEDROOM DUPLEX FOR RENT,"


 Ikate Elegushi Lekki Lagos ","  8,000,000 ","Updated 18 Feb 2023, Added 08 Sep 2022",455
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Chevron Drive Lekki Lagos ","  2,200,000/year ","Updated 18 Feb 2023, Added 08 Sep 2022",233
4 BEDROOM TERRACE FOR RENT,"


 Lekki Lekki Expressway Lekki Lagos ","  8,000,000 ","Updated 18 Feb 2023, Added 13 May 2022",45
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  6,500,000/year ","Updated 18 Feb 2023, Added 13 Jan 2023",344
3 BEDROOM BUNGALOW FOR RENT,"


 Vgc Ajah Lagos ","  4,000,000 ","Updated 18 Feb 2023, Added 15 Feb 2023",334
4 BEDROOM TERRACE FOR RENT,"


 Orchid Road Ikota Lekki Lagos ","  3,500,000 ","Updated 18 Feb 2023, Added 17 Feb 2023",445
5 BEDROOM DUPLEX FOR RENT,"


 Orchid Lekki Expressway Lekki Lagos ","  6,500,000/year ","Updated 18 Feb 2023, Added 06 Feb 2023",566
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Agungi Agungi Lekki Lagos ","  3,000,000/year ","Updated 18 Feb 2023, Added 06 Feb 2023",233
4 BEDROOM TERRACE FOR RENT,"


 Osapa Osapa Lekki Lagos ","  5,500,000/year ","Updated 18 Feb 2023, Added 13 Jan 2023",455
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  15,000,000/year ","Updated 18 Feb 2023, Added 16 Jan 2023",344
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Right Lekki Expressway Lekki Lagos ","  6,500,000 ","Updated 18 Feb 2023, Added 17 May 2022",34
4 BEDROOM TERRACE FOR RENT,"


 Oral Estate Lekki Expressway Lekki Lagos ","  8,000,000/year ","Updated 18 Feb 2023, Added 26 Sep 2022",455
4 BEDROOM DUPLEX FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  30,000,000/year ","Updated 18 Feb 2023, Added 26 Sep 2022",455
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ologolo Ologolo Lekki Lagos ","  3,000,000/year ","Updated 18 Feb 2023, Added 30 May 2022",233
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  6,000,000/year ","Updated 18 Feb 2023, Added 31 May 2022",344
5 BEDROOM DUPLEX FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  9,000,000/year ","Updated 18 Feb 2023, Added 31 May 2022",566
4 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  12,000,000/year ","Updated 18 Feb 2023, Added 31 May 2022",455
5 BEDROOM DUPLEX FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  10,000,000 ","Updated 18 Feb 2023, Added 10 May 2022",56
5 BEDROOM DUPLEX FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  9,500,000/year ","Updated 18 Feb 2023, Added 15 Nov 2022",566
3 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  6,000,000/year ","Updated 18 Feb 2023, Added 15 Nov 2022",344
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Lekki County Lekki Expressway Lekki Lagos ","  3,000,000/year ","Updated 18 Feb 2023, Added 01 Nov 2022",233
1 BEDROOM SHARED APARTMENT FOR RENT,"


 Budo Estate Ajah Ajah Lagos ","  1,200,000/year ","Updated 18 Feb 2023, Added 11 Jan 2023",111
4 BEDROOM TERRACE FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  6,500,000/year ","Updated 18 Feb 2023, Added 30 Sep 2022",455
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ologolo Ologolo Lekki Lagos ","  3,200,000/year ","Updated 18 Feb 2023, Added 06 Feb 2023",233
1 BEDROOM MINI FLAT FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  2,500,000 ","Updated 18 Feb 2023, Added 26 Aug 2022",122
4 BEDROOM DUPLEX FOR RENT,"


 Osapa Osapa Lekki Lagos ","  7,500,000/year ","Updated 18 Feb 2023, Added 22 Nov 2022",455
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Victoria Island Victoria Island Lagos ","  6,000,000 ","Updated 18 Feb 2023, Added 17 May 2022",45
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ikate Ikate Elegushi Lekki Lagos ","  4,500,000/year ","Updated 18 Feb 2023, Added 20 Jan 2023",233
4 BEDROOM TERRACE FOR RENT,"


 Chevron Chevron Drive Lekki Lagos ","  3,800,000/year ","Updated 18 Feb 2023, Added 13 Oct 2022",455
4 BEDROOM TERRACE FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  3,500,000 ","Updated 18 Feb 2023, Added 09 May 2022",45
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Victoria Island Victoria Island Lagos ","  6,000,000 ","Updated 18 Feb 2023, Added 13 May 2022",34
4 BEDROOM DUPLEX FOR RENT,"


 2nd Toll Gate Ikota Lekki Lagos ","  86,000,000 ","Updated 18 Feb 2023, Added 17 Feb 2023",445
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  5,000,000 ","Updated 18 Feb 2023, Added 11 May 2022",344
2 BEDROOM BLOCK OF FLATS FOR RENT,"


 Ajah Lagos ","  400,000/year ",Added 18 Feb 2023,222
1 BEDROOM ROOM OR BOYS QUARTER FOR RENT,"


 Lekki Palm City Estate Ajah Ajah Lagos ","  600,000 ",Added 17 Feb 2023,111
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Lagos ","  5,000,000 ",Added 17 Feb 2023,223
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Lagos ","  7,000,000 ",Added 17 Feb 2023,330
3 BEDROOM HOUSE FOR RENT,"


 Ikoyi Lagos ","  13,000,000 ",Added 17 Feb 2023,334
3 BEDROOM HOUSE FOR RENT,"


 Elesekan By Bogije Ibeju Lekki Lagos Ibeju Lekki Ajah Lagos ","  650,000/year ",Added 17 Feb 2023,344
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oduduwa Crescent Ikeja Lagos ","  1,200,000/year ",Added 17 Feb 2023,111
1 BEDROOM ROOM OR BOYS QUARTER FOR RENT,"


 Whitesand Beach Estate Ologolo Lekki Lagos ","  600,000/year ",Added 17 Feb 2023,111
